,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
0,ref: 472082,R$ 900.000,rua dos golfinhos,"Ingleses do Rio Vermelho, Florianópolis - SC",61m²,2,1,2
1,ref: 468398,R$ 850.000,rodovia joão paulo,"João Paulo, Florianópolis - SC",68m²,2,1,2
2,ref: 468996,R$ 1.230.000,rua professor ayrton roberto de oliveira,"Itacorubi, Florianópolis - SC",89m²,3,1,2
3,ref: 465833,R$ 1.338.633,rua das dunas,"Ingleses do Rio Vermelho, Florianópolis - SC",117m²,3,2,3
4,ref: 465834,R$ 1.401.049,rua das dunas,"Ingleses do Rio Vermelho, Florianópolis - SC",125m²,3,2,4
5,ref: 465841,R$ 645.910,rua da quaresmeira roxa,"Cachoeira do Bom Jesus, Florianópolis - SC",77m²,2,1,2
6,ref: 464781,R$ 550.000,rua das gaivotas,"Ingleses, Florianópolis - SC",67m²,2,1,2
7,ref: 463419,R$ 930.000,rua abel álvares cabral júnior,"Ingleses do Rio Vermelho, Florianópolis - SC",96m²,3,1,2
8,ref: 464463,R$ 1.800.000,rua salvatina feliciana dos santos,"Itacorubi, Florianópolis - SC",180m²,4,2,3
9,ref: 466176,R$ 473.050,rua da quaresmeira roxa,"Cachoeira do Bom Jesus, Florianópolis - SC",48m²,1,1,2
10,ref: 460936,R$ 695.000,rua das cerejeiras,"Carvoeira, FLORIANÓPOLIS - SC",60m²,2,1,3
11,ref: 463620,R$ 429.565,servidão elizabeth helena richter cordeiro,"Ingleses do Rio Vermelho, Florianópolis - SC",63m²,2,1,2
12,ref: 463627,R$ 446.087,servidão elizabeth helena richter cordeiro,"Ingleses do Rio Vermelho, Florianópolis - SC",61m²,2,1,2
13,ref: 463635,R$ 451.594,servidão elizabeth helena richter cordeiro,"Ingleses do Rio Vermelho, Florianópolis - SC",63m²,2,1,2
14,ref: 464650,R$ 1.300.000,rua apeninos,"Córrego Grande, Florianópolis - SC",82m²,2,2,4
15,ref: 467153,R$ 2.100.000,boulevard paulo zimmer,"Agronômica, FLORIANÓPOLIS - SC",95m²,2,1,3
