,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
0,ref: 472082,R$ 900.000,rua dos golfinhos,"Ingleses do Rio Vermelho, Florianopolis - SC",61m²,2,1.0,2.0
1,ref: 468398,R$ 850.000,rodovia joao paulo,"Joao Paulo, Florianopolis - SC",68m²,2,1.0,2.0
2,ref: 468996,R$ 1.230.000,rua professor ayrton roberto de oliveira,"Itacorubi, Florianopolis - SC",89m²,3,1.0,2.0
3,ref: 465833,R$ 1.338.633,rua das dunas,"Ingleses do Rio Vermelho, Florianopolis - SC",117m²,3,2.0,3.0
4,ref: 465834,R$ 1.401.049,rua das dunas,"Ingleses do Rio Vermelho, Florianopolis - SC",125m²,3,2.0,4.0
5,ref: 465841,R$ 645.910,rua da quaresmeira roxa,"Cachoeira do Bom Jesus, Florianopolis - SC",77m²,2,1.0,2.0
6,ref: 464781,R$ 550.000,rua das gaivotas,"Ingleses, Florianopolis - SC",67m²,2,1.0,2.0
7,ref: 463419,R$ 930.000,rua abel alvares cabral junior,"Ingleses do Rio Vermelho, Florianopolis - SC",96m²,3,1.0,2.0
8,ref: 464463,R$ 1.800.000,rua salvatina feliciana dos santos,"Itacorubi, Florianopolis - SC",180m²,4,2.0,3.0
9,ref: 466176,R$ 473.050,rua da quaresmeira roxa,"Cachoeira do Bom Jesus, Florianopolis - SC",48m²,1,1.0,2.0
10,ref: 460936,R$ 695.000,rua das cerejeiras,"Carvoeira, FLORIANOPOLIS - SC",60m²,2,1.0,3.0
11,ref: 463620,R$ 429.565,servidao elizabeth helena richter cordeiro,"Ingleses do Rio Vermelho, Florianopolis - SC",63m²,2,1.0,2.0
12,ref: 463627,R$ 446.087,servidao elizabeth helena richter cordeiro,"Ingleses do Rio Vermelho, Florianopolis - SC",61m²,2,1.0,2.0
13,ref: 463635,R$ 451.594,servidao elizabeth helena richter cordeiro,"Ingleses do Rio Vermelho, Florianopolis - SC",63m²,2,1.0,2.0
14,ref: 464650,R$ 1.300.000,rua apeninos,"Corrego Grande, Florianopolis - SC",82m²,2,2.0,4.0
15,ref: 467153,R$ 2.100.000,boulevard paulo zimmer,"Agronomica, FLORIANOPOLIS - SC",95m²,2,1.0,3.0
16,ref: 463856,R$ 1.598.000,rua salvatina feliciana dos santos,"Itacorubi, Florianopolis - SC",127m²,4,2.0,2.0
17,ref: 473760,R$ 695.000,travessa do carnavalesco,"Pantanal, FLORIANOPOLIS - SC",70m²,2,1.0,2.0
18,ref: 469416,R$ 480.000,rua martinho de haro,"Ingleses, Florianopolis - SC",64m²,2,,1.0
19,ref: 471515,R$ 335.000,rua graciliano manoel gomes,"Ingleses, Florianopolis - SC",59m²,2,1.0,2.0
20,ref: 471517,R$ 748.000,rua graciliano manoel gomes,"Ingleses, Florianopolis - SC",149m²,3,3.0,3.0
21,ref: 468943,R$ 3.500.000,rua das baleias franca,"Jurere, Florianopolis - SC",145m²,3,2.0,2.0
22,ref: 462498,R$ 489.000,rua martinho de haro,"Ingleses do Rio Vermelho, Florianopolis - SC",61m²,2,1.0,1.0
23,ref: 462505,R$ 699.000,rua do vasco,"Ingleses do Rio Vermelho, Florianopolis - SC",81m²,2,1.0,3.0
24,ref: 462506,R$ 715.000,rua do vasco,"Ingleses do Rio Vermelho, Florianopolis - SC",80m²,3,2.0,2.0
25,ref: 462547,R$ 565.000,rua manoel severino de oliveira,"Lagoa da Conceicao, Florianopolis - SC",48m²,1,1.0,1.0
26,ref: 465584,R$ 583.000,rua das andorinhas,"Ingleses do Rio Vermelho, Florianopolis - SC",50m²,1,,2.0
27,ref: 462475,R$ 645.000,rua manoel severino de oliveira,"Lagoa da Conceicao, Florianopolis - SC",50m²,1,1.0,1.0
28,ref: 462479,R$ 645.000,rua manoel severino de oliveira,"Lagoa da Conceicao, Florianopolis - SC",50m²,1,1.0,1.0
29,ref: 462489,R$ 680.000,rua manoel severino de oliveira,"Lagoa da Conceicao, Florianopolis - SC",53m²,1,1.0,1.0
30,ref: 462739,R$ 699.000,rua luiz elias daux,"Ingleses do Rio Vermelho, Florianopolis - SC",70m²,2,1.0,2.0
31,ref: 462749,R$ 1.750.000,rua sao jose,"Balneario, Florianopolis - SC",114m²,3,2.0,4.0
32,ref: 462802,R$ 650.000,rua das gaivotas,"Ingleses, Florianopolis - SC",67m²,2,1.0,3.0
