,reference,preco,endereco,localizacao,metragem,quartos,garagens,banheiro
0,ref: 306193,R$ 780.000,avenida iguassu,"Petropolis, Porto Alegre - RS",142m²,3.0,2.0,3.0
1,ref: 283283,R$ 830.000,avenida neusa goulart brizola,"Petropolis, Porto Alegre - RS",108m²,3.0,2.0,2.0
2,ref: 221614,R$ 698.000,rua dona ondina,"Menino Deus, Porto Alegre - RS",91m²,3.0,2.0,3.0
3,ref: 258334,R$ 580.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",104m²,3.0,1.0,3.0
4,ref: 475077,R$ 765.000,rua gutemberg,"Petropolis, Porto Alegre - RS",72m²,2.0,2.0,2.0
5,ref: 131663,R$ 699.000,rua jari,"Passo da Areia, Porto Alegre - RS",75m²,3.0,1.0,2.0
6,ref: 470102,R$ 1.000.000,rua goncalves dias,"Menino Deus, Porto Alegre - RS",89m²,3.0,2.0,2.0
7,ref: 468491,R$ 460.000,rua la plata,"Jardim Botanico, Porto Alegre - RS",52m²,2.0,1.0,1.0
8,ref: 463887,R$ 349.000,avenida coronel lucas de oliveira,"Petropolis, Porto Alegre - RS",64m²,2.0,1.0,1.0
9,ref: 12841,R$ 349.000,rua heretiano rocha,"Petropolis, Porto Alegre - RS",59m²,2.0,1.0,1.0
10,ref: 189379,R$ 1.080.000,rua costa,"Menino Deus, Porto Alegre - RS",104m²,3.0,2.0,2.0
11,ref: 344829,R$ 649.000,rua felipe camarao,"Bom Fim, Porto Alegre - RS",141m²,3.0,,1.0
12,ref: 450769,R$ 710.000,rua azevedo sodre,"Passo da Areia, Porto Alegre - RS",67m²,2.0,1.0,2.0
13,ref: 376384,R$ 710.000,rua azevedo sodre,"Passo da Areia, Porto Alegre - RS",69m²,2.0,1.0,2.0
14,ref: 316837,R$ 419.000,avenida cristovao colombo,"Higienopolis, Porto Alegre - RS",57m²,2.0,1.0,1.0
15,ref: 320486,R$ 610.000,rua afonso taunay,"Boa Vista, Porto Alegre - RS",83m²,3.0,2.0,3.0
16,ref: 276009,R$ 580.000,avenida osvaldo aranha,"Bom Fim, Porto Alegre - RS",58m²,2.0,2.0,2.0
17,ref: 449084,R$ 525.000,rua anita garibaldi,"Boa Vista, Porto Alegre - RS",103m²,3.0,1.0,2.0
18,ref: 95171,R$ 1.395.000,rua jaragua,"Bela Vista, Porto Alegre - RS",144m²,3.0,2.0,4.0
19,ref: 62648,R$ 749.000,rua vicente da fontoura,"Rio Branco, Porto Alegre - RS",76m²,2.0,2.0,3.0
20,ref: 15610,R$ 445.000,rua joao abbott,"Petropolis, Porto Alegre - RS",65m²,1.0,1.0,1.0
21,ref: 424223,R$ 2.990.000,rua quintino bocaiuva,"Bela Vista, Porto Alegre - RS",420m²,3.0,3.0,4.0
22,ref: 466101,R$ 628.000,rua gutemberg,"Petropolis, Porto Alegre - RS",52m²,1.0,1.0,2.0
23,ref: 391210,R$ 365.000,rua general neto,"Moinhos de Vento, Porto Alegre - RS",70m²,2.0,,1.0
24,ref: 445134,R$ 480.000,avenida dom claudio jose goncalves ponce de leao,"Vila Ipiranga, Porto Alegre - RS",72m²,2.0,1.0,2.0
25,ref: 408229,R$ 519.000*,avenida benno mentz,"Vila Ipiranga, Porto Alegre - RS",79m²,2.0,2.0,2.0
26,ref: 87546,R$ 520.000,rua coronel andre belo,"Menino Deus, Porto Alegre - RS",71m²,2.0,1.0,1.0
